Tracker,Game_Date,Home_Team,Away_Team,Quarter,Game_Clock,Shot_Clock,Home_Strength,Away_Strength,Team,Event_Type,State,Player1,Location1_x,Location1_y,Net_Location,Shot_Angle,Result,Empty_Net,Goalie_Response,Shot_Type,Primary_Assist,Secondary_Assist,Rebound_Type,Rebound,Shot_Blocker,FO_Home,FO_Away,FO_Result,FO_Winning_Team,Turnover_Type,Home_Goalie,Away_Goalie,Min,Sec,Time_Stamp,Game,Season,Player1_Name,Primary_Assist_Name,Secondary_Assist_Name,FO_Home_Name,FO_Away_Name,Home_Goalie_Name,Away_Goalie_Name,Rebound_Team,Rebound_Name,Shot_Blocking_Team,Shot_Blocker_Name,Competition
Eddy,4/21/24,Ireland,Finland,1,9:43,11,5,4,Ireland,Shot,Set,87,0.829065596,0.453307088,Left Leg,158.9681955,Miss,No,Not Clean,Assisted,27,NA,Defensive,11,NA,NA,NA,NA,NA,NA,0,44,9,43,317,4-21 Finland vs Ireland,2023,B. O'Sullivan,B. Gillis,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,H. Haarala,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,9:29,24,5,4,Finland,Shot,Transition,3,0.126243723,0.449052607,Right Leg,130.7431234,Miss,No,Not Clean,Movement,NA,NA,Defensive,87,NA,NA,NA,NA,NA,NA,0,44,9,29,331,4-21 Finland vs Ireland,2023,M. Mattila,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Ireland,B. O'Sullivan,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,10:07,16,5,4,Ireland,Shot,Set,87,0.829768418,0.640504255,Left Miss,65.50757573,Miss,No,Not On Net,Assisted,27,77,None,NA,NA,NA,NA,NA,NA,NA,0,44,10,7,293,4-21 Finland vs Ireland,2023,B. O'Sullivan,B. Gillis,C. Kelly,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,10:33,28,5,4,Finland,Turnover,Set,7,0.188092047,-0.004758706,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,10,33,267,4-21 Finland vs Ireland,2023,A. Hyytiäinen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,10:44,26,5,5,Ireland,Shot,Transition,86,0.866315155,0.437707324,Left Leg,235.6141961,Miss,No,Not Clean,Assisted,8,NA,None,NA,NA,NA,NA,NA,NA,NA,0,44,10,44,256,4-21 Finland vs Ireland,2023,L. Moloney,D. O'Gorman,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,11:19,17,5,4,Ireland,Shot,Set,27,0.91691833,0.293054968,Right Leg,232.8660258,Miss,No,Clean Save,Assisted,24,79,NA,NA,NA,NA,NA,NA,NA,NA,0,44,11,19,221,4-21 Finland vs Ireland,2023,B. Gillis,P. Corbett,J. Harrington,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,11:26,29,5,4,Finland,Turnover,Transition,11,0.843824855,0.898609439,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Stray Pass,0,44,11,26,214,4-21 Finland vs Ireland,2023,H. Haarala,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,11:48,11,5,4,Ireland,Shot,Set,27,0.916215508,0.356872184,Under Right Arm,209.9338853,Miss,No,Not Clean,Assisted,87,24,Defensive,8,NA,NA,NA,NA,NA,NA,0,44,11,48,192,4-21 Finland vs Ireland,2023,B. Gillis,B. O'Sullivan,P. Corbett,NA,NA,J. McMillan,L. Uusitalo,Finland,S. Koskinen,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,12:44,11,5,4,Ireland,Shot,Set,79,0.846636143,0.400835155,Right Miss,205.1540393,Miss,No,Not On Net,Movement,NA,NA,Defensive,44,NA,NA,NA,NA,NA,NA,0,44,12,44,136,4-21 Finland vs Ireland,2023,J. Harrington,NA,NA,NA,NA,J. McMillan,L. Uusitalo,Finland,L. Uusitalo,No Shot Block,NA,2024 EBOX
Eddy,4/21/24,Ireland,Finland,1,13:01,23,5,4,Finland,Turnover,Transition,8,0.741212862,0.551160152,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,Ball Lost,0,44,13,1,119,4-21 Finland vs Ireland,2023,S. Koskinen,NA,NA,NA,NA,J. McMillan,L. Uusitalo,No Rebound,NA,No Shot Block,NA,2024 EBOX
